Date;btc_vol;eth_vol
5.11.2020;0.620654523;0.234562163
6.11.2020;0.590113067;0.247942468
7.11.2020;0.527851364;0.284434116
8.11.2020;0.580239356;0.246029849
9.11.2020;0.599729389;0.240676331
10.11.2020;0.55384039;0.261824356
11.11.2020;0.575018257;0.271849794
12.11.2020;0.624438568;0.235286652
13.11.2020;0.572696775;0.239077664
14.11.2020;0.571379993;0.214400492
15.11.2020;0.546451793;0.238149737
16.11.2020;0.568797354;0.206419732
17.11.2020;0.571109854;0.213660917
18.11.2020;0.596177597;0.217259097
19.11.2020;0.581594908;0.196154194
20.11.2020;0.519328927;0.261538708
21.11.2020;0.43382988;0.227112282
22.11.2020;0.425604189;0.226481831
23.11.2020;0.400365332;0.255465617
24.11.2020;0.395381314;0.178846899
25.11.2020;0.419061286;0.192593018
26.11.2020;0.452536262;0.22925758
27.11.2020;0.445015455;0.192614486
28.11.2020;0.427608058;0.193732321
29.11.2020;0.431938783;0.208346411
30.11.2020;0.478666408;0.203355636
1.12.2020;0.446062004;0.244259715
2.12.2020;0.468281;0.211463276
3.12.2020;0.469495943;0.237409827
4.12.2020;0.482320347;0.232636449
5.12.2020;0.47478862;0.235246852
6.12.2020;0.472527095;0.210931454
7.12.2020;0.511677496;0.203946903
8.12.2020;0.510138235;0.231773708
9.12.2020;0.478045789;0.220214167
10.12.2020;0.479450641;0.219062824
11.12.2020;0.489226639;0.194480938
12.12.2020;0.46363324;0.18190507
13.12.2020;0.507522392;0.180877607
14.12.2020;0.509164107;0.184096512
15.12.2020;0.502809788;0.175362048
16.12.2020;0.507958962;0.180920782
17.12.2020;0.517493568;0.184726134
18.12.2020;0.463401624;0.180784283
19.12.2020;0.496961288;0.165675863
20.12.2020;0.489435641;0.172988608
21.12.2020;0.5104336;0.160518177
22.12.2020;0.472924848;0.157877294
23.12.2020;0.472541123;0.141000712
24.12.2020;0.450771056;0.157102151
25.12.2020;0.45959139;0.14771426
26.12.2020;0.518036161;0.158211831
27.12.2020;0.528084557;0.207274728
28.12.2020;0.484922908;0.239438584
29.12.2020;0.47098697;0.194682507
30.12.2020;0.548558479;0.184978717
31.12.2020;0.598467776;0.178264899
1.01.2021;0.55671099;0.18659869
2.01.2021;0.617436892;0.179600749
3.01.2021;0.506242602;0.290883262
4.01.2021;0.47125569;0.330642813
5.01.2021;0.487987275;0.300071198
6.01.2021;0.464726882;0.275911913
7.01.2021;0.485373396;0.23173204
8.01.2021;0.50572711;0.254476847
9.01.2021;0.469481176;0.251714578
10.01.2021;0.475864132;0.241659956
11.01.2021;0.523534923;0.2585055
12.01.2021;0.507711817;0.254588977
13.01.2021;0.555548929;0.241153724
14.01.2021;0.519098351;0.272628805
15.01.2021;0.522666572;0.277467122
16.01.2021;0.504928019;0.282792722
17.01.2021;0.503424101;0.281307102
18.01.2021;0.522374119;0.272387535
19.01.2021;0.437003355;0.360294731
20.01.2021;0.482981416;0.338085761
21.01.2021;0.516953205;0.313907614
22.01.2021;0.529046426;0.30094108
23.01.2021;0.524418158;0.29557471
24.01.2021;0.485599643;0.363553754
25.01.2021;0.493131747;0.358676535
26.01.2021;0.502794721;0.346900628
27.01.2021;0.514893323;0.324144645
28.01.2021;0.569752506;0.287159652
29.01.2021;0.57375443;0.260678787
30.01.2021;0.469211707;0.220528888
31.01.2021;0.455328822;0.21749339
1.02.2021;0.422149474;0.200833696
2.02.2021;0.44007913;0.316950176
3.02.2021;0.466684984;0.319490729
4.02.2021;0.474390373;0.305956388
5.02.2021;0.447880988;0.306561176
6.02.2021;0.484263999;0.270718294
7.02.2021;0.457627305;0.278691883
8.02.2021;0.543129375;0.258186959
9.02.2021;0.523796551;0.252061337
10.02.2021;0.467439279;0.224432758
11.02.2021;0.511471568;0.226369542
12.02.2021;0.474146574;0.234766295
13.02.2021;0.432713133;0.217799524
14.02.2021;0.464842047;0.205115709
15.02.2021;0.453371681;0.229160412
16.02.2021;0.493872312;0.219659757
17.02.2021;0.500105793;0.22248687
18.02.2021;0.469794392;0.255009802
19.02.2021;0.476290291;0.197046748
20.02.2021;0.458195497;0.233289095
21.02.2021;0.464875939;0.211636312
22.02.2021;0.48044305;0.221345833
23.02.2021;0.495143118;0.2430399
24.02.2021;0.477145596;0.234686746
25.02.2021;0.492604184;0.221253691
26.02.2021;0.830879583;0.074414612
27.02.2021;0.43830694;0.198022662
28.02.2021;0.458025465;0.236855183
1.03.2021;0.508805982;0.226902154
2.03.2021;0.482138056;0.228472822
3.03.2021;0.525546521;0.223909626
4.03.2021;0.501885217;0.219629425
5.03.2021;0.513117419;0.222307734
6.03.2021;0.449118552;0.297284887
7.03.2021;0.506353951;0.279484584
8.03.2021;0.503911293;0.286508341
9.03.2021;0.505971419;0.233160476
10.03.2021;0.542085351;0.237988853
11.03.2021;0.555720521;0.235054428
12.03.2021;0.542434358;0.218530659
13.03.2021;0.552927444;0.227976712
14.03.2021;0.543967411;0.23969322
15.03.2021;0.583405322;0.230524925
16.03.2021;0.529611236;0.211211531
17.03.2021;0.550891704;0.224101242
18.03.2021;0.540309442;0.225481041
19.03.2021;0.553594177;0.239758636
20.03.2021;0.546052412;0.245885096
21.03.2021;0.563695677;0.249353335
22.03.2021;0.547214052;0.228477248
23.03.2021;0.566461487;0.220805339
24.03.2021;0.58339898;0.258171038
25.03.2021;0.572949589;0.249826329
26.03.2021;0.5682611;0.226177364
27.03.2021;0.594186649;0.22756333
28.03.2021;0.615952491;0.214410145
29.03.2021;0.606635757;0.23998393
30.03.2021;0.579722593;0.239848941
31.03.2021;0.570236921;0.263068964
1.04.2021;0.550885314;0.276154413
2.04.2021;0.507986459;0.30155506
3.04.2021;0.525262441;0.281926048
4.04.2021;0.545518478;0.279549193
5.04.2021;0.442261209;0.210466837
6.04.2021;0.404261068;0.178837718
7.04.2021;0.465694874;0.222342457
8.04.2021;0.49289069;0.235167086
9.04.2021;0.519014352;0.220403202
10.04.2021;0.444491559;0.190701684
11.04.2021;0.40979989;0.174375066
12.04.2021;0.443131147;0.185772122
13.04.2021;0.432801282;0.182169814
14.04.2021;0.434424005;0.199638753
15.04.2021;0.461266726;0.244621083
16.04.2021;0.464795969;0.19959172
17.04.2021;0.445099076;0.217706988
18.04.2021;0.458791716;0.238630789
19.04.2021;0.437552521;0.228071868
20.04.2021;0.43409171;0.252290623
21.04.2021;0.408363981;0.289203674
22.04.2021;0.428691618;0.307058312
23.04.2021;0.439267739;0.280857595
24.04.2021;0.459906693;0.298890608
25.04.2021;0.458960309;0.31661839
26.04.2021;0.460889282;0.278414809
